City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
143,Pandamatenga,BW,-18.5278,25.627,67.89,94,97,4.05,light rain
144,Ixtapa,MX,20.7,-105.2,86.32,38,93,7.45,overcast clouds
145,Beloha,MG,-25.1667,45.05,72.34,81,57,13.94,broken clouds
146,Dzhebariki-Khaya,RU,62.2167,135.8,-24.99,98,100,0.81,overcast clouds
147,Yulara,AU,-25.2406,130.9889,66.87,42,0,9.37,clear sky
148,Dikson,RU,73.5069,80.5464,3.94,92,100,7.02,overcast clouds
149,Pacific Grove,US,36.6177,-121.9166,59.38,59,0,5.99,clear sky
150,Bartica,GY,6.4,-58.6167,80.92,68,99,6.85,overcast clouds
151,Vostok,RU,46.4856,135.8833,-8.93,99,100,5.06,overcast clouds
152,Jalu,LY,29.0331,21.5482,54.73,46,37,3.78,scattered clouds
153,Coyhaique,CL,-45.5752,-72.0662,72.21,49,40,9.22,scattered clouds
154,Te Anau,NZ,-45.4167,167.7167,64.94,95,75,2.75,broken clouds
155,Mumford,GH,5.2618,-0.759,79.9,84,20,8.25,few clouds
156,Saldanha,ZA,-33.0117,17.9442,64.45,83,0,19.73,clear sky
157,Willowmore,ZA,-33.2926,23.4895,66.81,67,3,11.56,clear sky
158,Arraial do Cabo,BR,-22.9661,-42.0278,89.56,62,40,14.97,scattered clouds
159,Antofagasta,CL,-23.65,-70.4,76.28,75,11,9.01,few clouds
160,Fairbanks,US,64.8378,-147.7164,10.6,83,100,0.0,mist
161,Cayenne,GF,4.9333,-52.3333,80.64,74,75,5.75,broken clouds
162,Black River,JM,18.0264,-77.8487,83.5,61,1,17.54,clear sky
163,Stromness,GB,58.965,-3.296,49.96,86,100,24.0,overcast clouds
164,Ndendé,GA,-2.4008,11.3581,78.06,83,97,1.14,light rain
165,Iqaluit,CA,63.7506,-68.5145,-33.07,61,20,4.61,few clouds
166,Altamont,US,42.2068,-121.7372,49.89,34,79,8.01,broken clouds
167,Sur,OM,22.5667,59.5289,68.14,66,0,6.4,clear sky
168,Nicoya,CR,10.1483,-85.452,92.21,33,95,11.92,overcast clouds
169,Srednekolymsk,RU,67.45,153.6833,-29.45,100,100,1.72,overcast clouds
170,Cherskiy,RU,68.75,161.3,-12.82,100,99,3.8,overcast clouds
171,Novomykolayivka,UA,47.9781,35.9102,31.69,82,80,8.81,broken clouds
172,Timbiquí,CO,2.7717,-77.6654,81.23,79,73,5.44,light rain
173,At-Bashi,KG,41.1702,75.8106,17.92,74,100,0.27,overcast clouds
174,Curitibanos,BR,-27.2828,-50.5844,73.92,91,86,0.45,overcast clouds
175,Atar,MR,20.5169,-13.0499,71.17,12,6,10.18,clear sky
176,Hofn,IS,64.2539,-15.2082,38.64,87,100,22.44,overcast clouds
177,Talnakh,RU,69.4865,88.3972,13.21,96,100,7.83,light snow
178,Artigas,UY,-30.4,-56.4667,75.25,72,100,24.94,overcast clouds
179,Mayo,US,38.8876,-76.5119,43.14,55,0,11.5,clear sky
180,Zhangaözen,KZ,43.3,52.8,36.88,86,100,8.39,overcast clouds
181,Kumul,CN,42.8,93.45,23.9,60,45,5.82,scattered clouds
182,Roebourne,AU,-20.7833,117.1333,85.53,68,53,4.32,broken clouds
183,Kavieng,PG,-2.5744,150.7967,81.63,75,100,5.84,light rain
184,Kiruna,SE,67.8557,20.2251,0.52,85,14,10.36,few clouds
185,Port Macquarie,AU,-31.4333,152.9167,67.89,88,9,8.28,clear sky
186,Alofi,NU,-19.0595,-169.9187,73.29,94,100,3.44,light intensity drizzle
187,Linden,GY,6.0,-58.3,80.42,75,88,5.7,overcast clouds
188,Ferrol,ES,43.4832,-8.2369,51.67,77,0,7.05,clear sky
189,Spirit River,CA,55.7833,-118.8361,1.83,88,100,4.18,overcast clouds
190,Ulladulla,AU,-35.35,150.4667,61.59,60,0,8.7,clear sky
