City,Country,Max Temp,Weather Description,Latitude,Longitude,Hotel Name
Manacapuru,BR,84.34,scattered clouds,-3.2997,-60.6206,Novo Hotel
Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
Suárez,CO,79.07,broken clouds,2.954,-76.6964,El sol
Mendoza,AR,87.33,few clouds,-32.8908,-68.8272,Hotel Eben-Ezer
Uruguaiana,BR,86.04,overcast clouds,-29.7547,-57.0883,Casa Branca
Alappuzha,IN,75.94,overcast clouds,9.49,76.3264,Unnis Hotel
Manokwari,ID,77.14,overcast clouds,-0.8667,134.0833,Hotel Arfak
Faranah,GN,83.62,broken clouds,10.0404,-10.7434,Hotel Selima
Hervey Bay,AU,77.0,few clouds,-25.2986,152.8535,Hervey Bay Hotel
Bariloche,AR,81.25,clear sky,-41.1456,-71.3082,Kronos
Juba,SS,81.07,overcast clouds,4.8517,31.5825,Hotel Juba Regency
Kismayo,SO,76.82,few clouds,-0.3582,42.5454,Kismayo Hotel
Byron Bay,AU,72.95,few clouds,-28.65,153.6167,Lord Byron Resort
Hambantota,LK,76.26,light rain,6.1241,81.1185,Oasis Aurweda Resort Hambathota
San Juan,AR,87.66,clear sky,-31.5375,-68.5364,Hotel San Francisco
Karratha,AU,85.41,scattered clouds,-20.7377,116.8463,Karratha International Hotel
Souillac,MU,78.31,light rain,-20.5167,57.5167,Hotel SkylineInn
Prado,BR,80.55,clear sky,-17.3411,-39.2208,Pousada Recanto do Prado
Sibolga,ID,75.67,overcast clouds,1.7427,98.7792,Hotel Prima Indah
Berbérati,CF,77.13,overcast clouds,4.2612,15.7922,Hotel Mont Fleury
Sulangan,PH,79.43,clear sky,11.1373,123.7228,Marion's Inn
Guatire,VE,84.2,clear sky,10.4762,-66.5427,Grand Hotel
Malé,MV,80.24,broken clouds,4.1748,73.5089,Champa Central Hotel
Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Horisun
Luganville,VU,81.36,few clouds,-15.5333,167.1667,Beachfront Resort
Padang,ID,76.19,light rain,-0.9492,100.3543,losmen Surya
Kwang Binh,VN,70.21,overcast clouds,17.4833,106.6,Nhà hàng Amor Palace
Bom Jardim,BR,81.73,broken clouds,-7.7958,-35.5872,Hotel Breno
Mackay,AU,79.57,broken clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
Berbera,SO,76.17,clear sky,10.4396,45.0143,Al Madina Hotel
Mersing,MY,75.99,overcast clouds,2.4312,103.8405,Mersing Inn Hotel
Rio Grande,BR,80.71,moderate rain,-32.035,-52.0986,Hotel Vila Moura Executivo
Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Prainha
Teacapan,MX,76.69,overcast clouds,22.55,-105.75,illas y Hotel Maria Fernanda
Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Fidji Motel
Oranjestad,AW,82.9,few clouds,12.524,-70.027,Hotel California
Pangani,TZ,76.33,few clouds,-5.4333,38.9667,Not in use
Sorong,ID,79.79,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Tropic Hotel
Bajil,YE,77.52,clear sky,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
Kolokani,ML,79.29,overcast clouds,13.5728,-8.0339,Hôtel kolokani
Tocopilla,CL,74.64,few clouds,-22.092,-70.1979,hotel Isidora
San Cristobal,VE,77.18,clear sky,7.7669,-72.225,Terra Sur
Alto Araguaia,BR,81.41,overcast clouds,-17.3147,-53.2153,Hotel Araguaia
Antsohihy,MG,75.92,light rain,-14.8796,47.9875,Escale
Eyl,SO,74.41,clear sky,7.9803,49.8164,فندق ايل دابي
Barreirinhas,BR,79.23,light rain,-2.7469,-42.8264,Pousada Matriz
Batticaloa,LK,76.95,overcast clouds,7.7102,81.6924,Lake View Hotel
Florianópolis,BR,82.54,scattered clouds,-27.6146,-48.5012,Pousada Caminho da Lagoa
Ambilobe,MG,74.77,light rain,-13.2,49.05,Hôtel National
Viedma,AR,84.7,broken clouds,-40.8135,-62.9967,Níjar
Sawākin,SD,71.92,clear sky,19.1059,37.3321,Hotel Halfa
Talcahuano,CL,80.28,clear sky,-36.7167,-73.1167,Club Recreativo Armada de Chile
Makakilo City,US,79.45,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
Ilhabela,BR,83.44,few clouds,-23.7781,-45.3581,Vila Kebaya
Salinópolis,BR,75.18,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
Koné,NC,76.59,overcast clouds,-21.0595,164.8658,Pacifik Appartels
Inhambane,MZ,77.31,clear sky,-23.865,35.3833,Hotel de Inhambane
